country,year,gender,age,suicides_no,population,suicides/100k pop,gdp_for_year,gdp_per_capita,hdi_for_year,total_suicides_year,total_population_year,suicides_to_population_ratio,suicides_to_population_ratio_discretize,gdp_category,gender_encoded,suicides_no_zscore,population_zscore,suicides_to_population_ratio_zscore,gdp_for_year_zscore,gdp_per_capita_zscore,hdi_for_year_zscore,total_suicides_year_category
Albania,1987,male,15-24 years,21,312900,6.71,2156624900,796,0.619,73,2709600,6.711409395973154e-05,Very High,Low,1,2.1365615563864577,0.8162173146610007,1.8435200793084463,-0.8066992500502441,-0.7677636045617039,-0.8823729072009019,51-500
Albania,1987,male,35-54 years,16,308000,5.19,2156624900,796,0.619,73,2709600,5.194805194805195e-05,High,Low,1,1.4203956715641817,0.770299233813252,1.154400845713421,-0.8066992500502441,-0.7677636045617039,-0.8823729072009019,51-500
Albania,1987,female,15-24 years,14,289700,4.83,2156624900,796,0.619,73,2709600,4.832585433206766e-05,High,Low,0,1.1339293176352707,0.5988092584022725,0.9898143278114842,-0.8066992500502441,-0.7677636045617039,-0.8823729072009019,51-500
Albania,1987,male,75+ years,1,21800,4.59,2156624900,796,0.619,73,2709600,4.587155963302752e-05,High,Low,1,-0.7281019829026475,-1.9116915291715744,0.8782953381689409,-0.8066992500502441,-0.7677636045617039,-0.8823729072009019,51-500
Albania,1987,male,25-34 years,9,274300,3.28,2156624900,796,0.619,73,2709600,3.2810791104629965e-05,Medium,Low,1,0.4177634328129945,0.4544952900236341,0.2848361619699034,-0.8066992500502441,-0.7677636045617039,-0.8823729072009019,51-500
Albania,1987,female,75+ years,1,35600,2.81,2156624900,796,0.619,73,2709600,2.808988764044944e-05,Medium,Low,0,-0.7281019829026475,-1.782371219845262,0.0703263132825003,-0.8066992500502441,-0.7677636045617039,-0.8823729072009019,51-500
Albania,1987,female,35-54 years,6,278800,2.15,2156624900,796,0.619,73,2709600,2.152080344332855e-05,Medium,Low,0,-0.0119360980803712,0.4966649561083012,-0.228161734149712,-0.8066992500502441,-0.7677636045617039,-0.8823729072009019,51-500
Albania,1987,female,25-34 years,4,257200,1.56,2156624900,796,0.619,73,2709600,1.5552099533437014e-05,Low,Low,0,-0.2984024520092817,0.2942505589018992,-0.4993695193300839,-0.8066992500502441,-0.7677636045617039,-0.8823729072009019,51-500
Albania,1987,male,55-74 years,1,137500,0.73,2156624900,796,0.619,73,2709600,7.272727272727272e-06,Very Low,Low,1,-0.7281019829026475,-0.8274625589502451,-0.8755701564214454,-0.8066992500502441,-0.7677636045617039,-0.8823729072009019,51-500
Albania,1987,female,5-14 years,0,311000,0.0,2156624900,796,0.619,73,2709600,0.0,,Low,0,-0.8713351598671027,0.7984123445363634,-1.206030552117819,-0.8066992500502441,-0.7677636045617039,-0.8823729072009019,51-500
Albania,1987,female,55-74 years,0,144600,0.0,2156624900,796,0.619,73,2709600,0.0,,Low,0,-0.8713351598671027,-0.7609281969055482,-1.206030552117819,-0.8066992500502441,-0.7677636045617039,-0.8823729072009019,51-500
Albania,1987,male,5-14 years,0,338200,0.0,2156624900,796,0.619,73,2709600,0.0,,Low,1,-0.8713351598671027,1.0533045484259067,-1.206030552117819,-0.8066992500502441,-0.7677636045617039,-0.8823729072009019,51-500
Albania,1988,female,75+ years,2,36400,5.49,2126000000,769,0.619,63,2764300,5.494505494505495e-05,High,Low,0,-0.635091559369841,-1.7820067185645363,1.5444409424433658,-0.8147859244261659,-0.7872638218238432,-0.8823729072009019,51-500
Albania,1988,male,15-24 years,17,319200,5.33,2126000000,769,0.619,63,2764300,5.325814536340852e-05,High,Low,1,2.296100253106348,0.8162394683830942,1.4510629855781465,-0.8147859244261659,-0.7872638218238432,-0.8823729072009019,51-500
Albania,1988,male,75+ years,1,22300,4.48,2126000000,769,0.619,63,2764300,4.484304932735426e-05,High,Low,1,-0.8305043468682536,-1.9115515249151784,0.9852499489929692,-0.8147859244261659,-0.7872638218238432,-0.8823729072009019,51-500
Albania,1988,male,35-54 years,14,314100,4.46,2126000000,769,0.619,63,2764300,4.4571792422795287e-05,High,Low,1,1.7098618906111105,0.7693828362988194,0.9702346714648286,-0.8147859244261659,-0.7872638218238432,-0.8823729072009019,51-500
Albania,1988,male,55-74 years,4,140200,2.85,2126000000,769,0.619,63,2764300,2.8530670470756063e-05,Medium,Low,1,-0.2442659843730157,-0.8283364420257666,0.0822871430351774,-0.8147859244261659,-0.7872638218238432,-0.8823729072009019,51-500
Albania,1988,female,15-24 years,8,295600,2.71,2126000000,769,0.619,63,2764300,2.706359945872801e-05,Medium,Low,0,0.5373851656206347,0.5994127003068421,0.0010782299020475,-0.8147859244261659,-0.7872638218238432,-0.8823729072009019,51-500
Albania,1988,female,55-74 years,3,147500,2.03,2126000000,769,0.619,63,2764300,2.033898305084746e-05,Medium,Low,0,-0.4396787718714283,-0.7612671451208243,-0.3711592318458159,-0.8147859244261659,-0.7872638218238432,-0.8823729072009019,51-500
Albania,1988,female,25-34 years,5,262400,1.91,2126000000,769,0.619,63,2764300,1.9054878048780488e-05,Low,Low,0,-0.0488531968746031,0.2943852130131316,-0.4422401616111163,-0.8147859244261659,-0.7872638218238432,-0.8823729072009019,51-500
Albania,1988,male,25-34 years,5,279900,1.79,2126000000,769,0.619,63,2764300,1.786352268667381e-05,Low,Low,1,-0.0488531968746031,0.4551677740866236,-0.5081869858062629,-0.8147859244261659,-0.7872638218238432,-0.8823729072009019,51-500
Albania,1988,female,35-54 years,4,284500,1.41,2126000000,769,0.619,63,2764300,1.40597539543058e-05,Low,Low,0,-0.2442659843730157,0.4974306187116558,-0.718742522677223,-0.8147859244261659,-0.7872638218238432,-0.8823729072009019,51-500
Albania,1988,female,5-14 years,0,317200,0.0,2126000000,769,0.619,63,2764300,0.0,,Low,0,-1.0259171343666662,0.7978643185461237,-1.4970125097380584,-0.8147859244261659,-0.7872638218238432,-0.8823729072009019,51-500
Albania,1988,male,5-14 years,0,345000,0.0,2126000000,769,0.619,63,2764300,0.0,,Low,1,-1.0259171343666662,1.053278901280014,-1.4970125097380584,-0.8147859244261659,-0.7872638218238432,-0.8823729072009019,51-500
Albania,1989,male,75+ years,2,22500,8.89,2335124988,833,0.619,68,2803100,8.888888888888889e-05,Extreme,Low,1,-0.6149186938124424,-1.9125576750394755,2.2317010483067894,-0.7595653136870435,-0.7410410846098834,-0.8823729072009019,51-500
Albania,1989,male,25-34 years,18,283600,6.35,2335124988,833,0.619,68,2803100,6.346967559943582e-05,Very High,Low,1,2.0683628791873057,0.4530914139951796,1.3026937051290208,-0.7595653136870435,-0.7410410846098834,-0.8823729072009019,51-500
Albania,1989,male,35-54 years,15,318400,4.71,2335124988,833,0.619,68,2803100,4.711055276381909e-05,High,Low,1,1.5652475842498528,0.7683904882901087,0.7048095350260496,-0.7595653136870435,-0.7410410846098834,-0.8823729072009019,51-500
Albania,1989,male,55-74 years,6,142100,4.22,2335124988,833,0.619,68,2803100,4.22237860661506e-05,High,Low,1,0.0559016994374947,-0.8289436151063282,0.5262106895450893,-0.7595653136870435,-0.7410410846098834,-0.8823729072009019,51-500
Albania,1989,male,15-24 years,12,323500,3.71,2335124988,833,0.619,68,2803100,3.709428129829985e-05,Medium,Low,1,1.0621322893124,0.8145981112471242,0.3387403873789731,-0.7595653136870435,-0.7410410846098834,-0.8823729072009019,51-500
Albania,1989,female,35-54 years,7,288600,2.43,2335124988,833,0.619,68,2803100,2.4255024255024256e-05,Medium,Low,0,0.2236067977499789,0.4983930051295084,-0.130501675242177,-0.7595653136870435,-0.7410410846098834,-0.8823729072009019,51-500
Albania,1989,female,15-24 years,5,299900,1.67,2335124988,833,0.619,68,2803100,1.6672224074691564e-05,Low,Low,0,-0.1118033988749895,0.6007746010930918,-0.4076336607667515,-0.7595653136870435,-0.7410410846098834,-0.8823729072009019,51-500
Albania,1989,female,25-34 years,2,266300,0.75,2335124988,833,0.619,68,2803100,7.510326699211415e-06,Very Low,Low,0,-0.6149186938124424,0.2963479086704016,-0.7424776168853211,-0.7595653136870435,-0.7410410846098834,-0.8823729072009019,51-500
Albania,1989,female,55-74 years,1,149600,0.67,2335124988,833,0.619,68,2803100,6.684491978609625e-06,Very Low,Low,0,-0.7826237921249266,-0.7609912284048348,-0.7726597673301012,-0.7595653136870435,-0.7410410846098834,-0.8823729072009019,51-500
Albania,1989,female,5-14 years,0,321900,0.0,2335124988,833,0.619,68,2803100,0.0,,Low,0,-0.9503288904374108,0.8001016020841389,-1.016960881720524,-0.7595653136870435,-0.7410410846098834,-0.8823729072009019,51-500
Albania,1989,female,75+ years,0,37000,0.0,2335124988,833,0.619,68,2803100,0.0,,Low,0,-0.9503288904374108,-1.7811830607499215,-1.016960881720524,-0.7595653136870435,-0.7410410846098834,-0.8823729072009019,51-500
Albania,1989,male,5-14 years,0,349700,0.0,2335124988,833,0.619,68,2803100,0.0,,Low,1,-0.9503288904374108,1.0519784487910075,-1.016960881720524,-0.7595653136870435,-0.7410410846098834,-0.8823729072009019,51-500
Albania,1992,male,35-54 years,12,343800,3.49,709452584,251,0.619,47,2822500,3.4904013961605584e-05,Medium,Low,1,2.059174176099948,0.9868930331678228,1.4222278091159788,-1.188833111233157,-1.1613791011493309,-0.8823729072009019,0-50
